CAS,chemical_name,n_species_observed,n_species_predicted,hc5_traditional,hc5_trad_mu,hc5_trad_sigma,hc5_mc_median,hc5_mc_lower_95,hc5_mc_upper_95,hc5_mc_ci_width
879-39-0,"2,3,4,5-Tetrachloronitrobenzene",1,1267,,,,-4.545330637778017,-4.8346081379237615,-4.264385661434182,0.5702224764895796
62-73-7,Dichlorvos,61,1267,-2.4664052000461365,-0.19870190948609726,1.3786657082447749,-2.787389538782074,-2.941021407786255,-2.6486316642992334,0.29238974348702174
98-50-0,(4-Aminophenyl)arsonic acid,1,1267,,,,-2.0862371551683916,-2.3050608681900298,-1.8839900254546222,0.4210708427354075
121-54-0,Benzethonium chloride,5,1267,-1.238835460692424,0.1333141587770172,0.8342077355615807,-1.8662714211391873,-2.014478094360064,-1.7196433384435876,0.29483475591647657
106-48-9,4-Chlorophenol,9,1267,0.33096755731278754,0.7427019064774965,0.2503167105074305,-1.008550115157131,-1.1326175994068983,-0.8934516540206309,0.23916594538626745
75-08-1,Ethanethiol,1,1267,,,,-2.82865601870375,-3.117068723407135,-2.559262115545967,0.5578066078611679
97-78-9,N-Dodecanoyl-N-methylglycine,1,1267,,,,-3.059987289492099,-3.308561127115521,-2.8352249100878693,0.4733362170276516
28288-05-3,Butethrin,1,1267,,,,-3.157792944123016,-3.338597986541098,-2.988268064982885,0.3503299215582132
2682-20-4,2-Methyl-3(2H)-isothiazolone,1,1267,,,,-2.4445845979859016,-2.6208472529727906,-2.2799324819642295,0.34091477100856116
17321-77-6,Clomipramine hydrochloride,1,1267,,,,-3.622220143575956,-3.870380183695505,-3.394736873184311,0.4756433105111939
4224-70-8,"Hexanoic acid, 6-bromo-",1,1267,,,,-2.6470220362740324,-2.893883300337813,-2.4179393460763556,0.4759439542614574
1928-43-4,"2,4-D 2-EHE",1,1267,,,,-2.7294432942387847,-2.9403091077213177,-2.5426840170025296,0.39762509071878815
1861-40-1,Benfluralin,3,1267,,,,-2.3653373769292196,-2.509787308406582,-2.2305128192826467,0.27927448912393515
100-52-7,Benzaldehyde,7,1267,0.12109701395126182,0.7987400206804569,0.4119776955382469,-1.0586443635926588,-1.1890143267665687,-0.9303181367650827,0.258696190001486
161326-34-7,Fenamidone,1,1267,,,,-2.5113480717252576,-2.663729347403723,-2.364425132884506,0.2993042145192173
3698-83-7,"1,3-Dichloro-4,6-dinitrobenzene",5,1267,-1.680797261307721,-1.4180227940316485,0.15975553263246378,-2.8115954001904444,-2.9285288809801284,-2.689421963611925,0.23910691736820322
39765-80-5,trans-Nonachlor,1,1267,,,,-4.095650893509905,-4.311713218184479,-3.88093696027049,0.43077625791398866
37853-59-1,"1,2-Bis(2,4,6-tribromophenoxy)ethane",3,1267,,,,-1.4759680113822218,-1.702792633408496,-1.2720320765409039,0.43076055686759207
127-19-5,"N,N-Dimethylacetamide",1,1267,,,,-0.9175603375801327,-1.1104019004257624,-0.716396387927032,0.3940055124987304
81-50-5,"9,10-Anthracenedione, 1-amino-4-bromo-2-methyl-",1,1267,,,,-3.471093091995086,-3.7109510884043955,-3.242256138309634,0.46869495009476125
451-13-8,"Benzeneacetic acid, 2,5-dihydroxy-",1,1267,,,,-2.3498601411532896,-2.581816258547974,-2.132270577567843,0.44954568098013103
586-11-8,"Phenol, 3,5-dinitro-",1,1267,,,,-3.5204588691500494,-3.8168761880353252,-3.2400267363271418,0.5768494517081835
2201-15-2,"Cyclohexanamine, N-ethyl-1-phenyl-",1,1267,,,,-2.6332009905785227,-2.870733651171469,-2.4269983540919555,0.44373529707951365
2939-80-2,cis-Captafol,1,1267,,,,-2.757394127537569,-2.9197869324105983,-2.6052462894186315,0.3145406429919668
5464-71-1,Octyl 2-hydroxypropanoate,1,1267,,,,-1.857673210430175,-2.053504565876149,-1.670953513662891,0.3825510522132578
598-16-3,Tribromoethene,3,1267,,,,-1.6011833508103939,-1.7593585672411836,-1.4611174774475673,0.2982410897936163
28772-56-7,Bromadiolone,1,1267,,,,-3.0271209100945335,-3.2118727684880457,-2.8442561790727257,0.36761658941532005
59-00-7,Xanthurenic acid,1,1267,,,,-1.968341005673592,-2.1614578749386615,-1.7726907230166127,0.3887671519220488
495-54-5,C.I. Basic Orange 2- parent (Chrysoidine free base),1,1267,,,,-3.464770844180376,-3.6975086717545915,-3.250500121010454,0.4470085507441377
115-77-5,Pentaerythritol,1,1267,,,,-2.260306653871639,-2.5690515820870226,-1.9685465292766056,0.600505052810417
50594-66-6,Acifluorfen,1,1267,,,,-3.2559423423590146,-3.4982782642375585,-3.0413766127578588,0.45690165147969974
121-88-0,2-Amino-5-nitrophenol,1,1267,,,,-3.6441035550069616,-3.951724118661348,-3.3710783454481077,0.5806457732132402
83601-83-6,Mefluidide-potassium,1,1267,,,,-3.5133026707052237,-3.8180072607193454,-3.2279765634789745,0.5900306972403708
576-26-1,"2,6-Dimethylphenol",1,1267,,,,-1.3521682233353463,-1.5178085506158694,-1.195553861508444,0.3222546891074254
1478-61-1,Bisphenol AF,1,1267,,,,-2.531939808579777,-2.6950351946288227,-2.3787149626409265,0.31632023198789616
27344-41-8,"Disodium 4,4'-bis(2-sulfostyryl)biphenyl",1,1267,,,,-1.4163744155665872,-1.5822101541503397,-1.2284427209547126,0.3537674331956271
319-84-6,"alpha-1,2,3,4,5,6-Hexachlorocyclohexane",8,1267,-1.2441348947882633,-0.45959716727409106,0.47696507133477484,-2.377134534808365,-2.527181785813875,-2.2449273826999843,0.2822544031138907
51384-51-1,Metoprolol,2,1267,,,,-1.557296208117721,-1.727089966364863,-1.3964619263404787,0.3306280400243842
58-08-2,Caffeine,3,1267,,,,-0.6347811281864408,-0.7867222972232754,-0.48331652426023586,0.3034057729630395
131-91-9,"2-Naphthalenol, 1-nitroso-",1,1267,,,,-2.899919414518267,-3.111592044833748,-2.698982853585665,0.4126091912480834
1013-23-6,Dibenzothiopene 5-oxide,1,1267,,,,-2.9732160192776322,-3.230329037771881,-2.73204191205945,0.49828712571243106
122453-73-0,Chlorfenapyr,3,1267,,,,-3.5059628096129387,-3.6585937263570214,-3.3673991652054007,0.2911945611516207
121-73-3,1-Chloro-3-nitrobenzene,2,1267,,,,-1.4219883389750765,-1.5583313658780835,-1.2765555806029998,0.28177578527508373
16752-77-5,Methomyl,20,1267,-2.725668911912633,-0.9950136918352841,1.0521636647297905,-2.2515779376622578,-2.3643890164878014,-2.1417817671438613,0.22260724934394016
72-54-8,"p,p'-DDD",9,1267,-3.455769533302081,-1.76285166056434,1.029220986596448,-3.3806806319826213,-3.511359142131257,-3.25389682606124,0.2574623160700171
58-90-2,"2,3,4,6-Tetrachlorophenol",5,1267,-1.4831638704127985,-0.5999351770908549,0.5369649182455802,-2.0677601248725903,-2.2117910876880096,-1.934581097271087,0.2772099904169225
67-68-5,Dimethyl sulfoxide,4,1267,,,,1.0872249761778232,0.9126751989258314,1.2784162825063359,0.3657410835805045
150-76-5,4-Methoxyphenol,1,1267,,,,-1.0162677843732162,-1.1759244770346453,-0.8597072300879115,0.3162172469467338
1194-65-6,Dichlobenil,20,1267,0.5271824580991344,0.8960525100003146,0.22425706814097124,-1.086323730227578,-1.2060297586787445,-0.9526441059359505,0.253385652742794
554-01-8,5-Methylcytosine,1,1267,,,,-3.2958018045081197,-3.653994444677498,-2.959556380858872,0.6944380638186258
87-62-7,"2,6-Dimethylaniline",1,1267,,,,-1.8327073843074637,-2.057579845722703,-1.6369870943389122,0.4205927513837908
4170-30-3,Crotonaldehyde,1,1267,,,,-1.6216208190245207,-1.7539470484773023,-1.4880456809427631,0.2659013675345392
584-84-9,"Toluene-2,4-diisocyanate",1,1267,,,,-0.8267100068371982,-0.9688584024691249,-0.67611298576249,0.2927454167066349
556-56-9,"1-Propene, 3-iodo-",1,1267,,,,-2.4146880190546463,-2.633463941808106,-2.211485963142787,0.42197797866531905
592-41-6,1-Hexene,2,1267,,,,-0.686662983888933,-0.8331923084485132,-0.5344396377486563,0.2987526706998569
931-53-3,Cyclohexyl isocyanide,1,1267,,,,-1.8734888746772735,-2.07924040731641,-1.6777028363054745,0.40153757101093546
95465-99-9,Cadusafos,4,1267,,,,-2.9844639564200026,-3.1280778175190296,-2.843598820492966,0.2844789970260635
118-91-2,2-Chlorobenzoic acid,1,1267,,,,-1.5965365849258693,-1.7841729967183648,-1.4093585392716852,0.3748144574466796
318-98-9,Propranolol hydrochloride,3,1267,,,,-2.89438552640142,-3.095659550326,-2.713683332341069,0.38197621798493087
4189-47-3,2-Hydroxypropyl bromoacetate,1,1267,,,,-2.0753898049100514,-2.2574161488176174,-1.8839987418399018,0.37341740697771564
500-22-1,3-Pyridinecarboxaldehyde,1,1267,,,,-1.3924414812423367,-1.5719157435396918,-1.2080786725684889,0.3638370709712029
700-38-9,6-Nitro-m-cresol,1,1267,,,,-1.4557954059877245,-1.6291066548923978,-1.2807742840724496,0.34833237081994817
59-31-4,2(1H)-Quinolinone,1,1267,,,,-2.6500932160753097,-2.908120097171621,-2.3917431105263542,0.5163769866452665
10043-52-4,Calcium chloride,11,1267,2.42683439325603,3.3117556116743434,0.5379939004411003,0.7463196648576812,0.5814139124428633,0.8974431078442092,0.3160291954013459
83-32-9,Acenaphthene,7,1267,-0.6786143901196037,-0.1856319696047535,0.2997120305644037,-1.6977973502899437,-1.8223983887295652,-1.5812079536438557,0.24119043508570948
1461-25-2,Tetrabutyltin,2,1267,,,,-4.094570117420628,-4.313582878537623,-3.8810647532694307,0.43251812526819267
588-59-0,"Benzene, 1,1'-(1,2-ethenediyl)bis-",1,1267,,,,-1.9749093369548099,-2.152793212787335,-1.796377777271811,0.3564154355155238
5989-54-8,(S)-Limonene,1,1267,,,,-2.1486549380399684,-2.3614441247266473,-1.9571340753009365,0.4043100494257108
422-64-0,Pentafluoropropionic acid,1,1267,,,,-1.9626367741111976,-2.1727454212435706,-1.762672817127237,0.4100726041163336
374726-62-2,Mandipropamid,1,1267,,,,-2.2398451198596563,-2.4121554284516873,-2.0702446139272777,0.34191081452440963
3347-22-6,Dithianon,1,1267,,,,-3.411927526274803,-3.552339271528158,-3.281331811778644,0.271007459749514
55-86-7,Nitrogen mustard hydrochloride,2,1267,,,,-1.2328327397409455,-1.372203586039778,-1.0913639270403959,0.28083965899938224
51-79-6,Urethane,1,1267,,,,-0.5404946793774136,-0.7309172128594333,-0.3410166589062567,0.38990055395317663
129-67-9,Disodium endothal,4,1267,,,,-1.3593090855099184,-1.5430249832900975,-1.1773186076700222,0.36570637562007535
7558-79-4,Dibasic sodium phosphate,1,1267,,,,-0.7096434894027845,-0.931066110350355,-0.49425909097183346,0.43680701937852157
301-04-2,Lead(II) acetate,9,1267,-0.40028734714951775,0.7804706411057697,0.7178498857941982,-1.4178658728484428,-1.5586624715357356,-1.273192621848025,0.2854698496877106
1929-88-0,Benzthiazuron,1,1267,,,,-1.4069096204730764,-1.5906551074843933,-1.224564487559731,0.3660906199246623
