bin,n_chem,med_aleatoric_var,med_within_var,mean_aleatoric_var,mean_within_var,med_n_species,n_chem_with_within,ratio_ale_over_within
3-4,579,0.09236947018189644,0.03778459795508317,0.11860659779934703,0.3754700914261901,2.0,53,2.4446328710894742
5-9,558,0.08210499154443512,0.04125137252255433,0.17191761268755218,0.14275006959236833,3.0,142,1.9903578117199359
10-19,309,0.0815142285757313,0.07386437267636878,0.17475415966592953,0.2222355549672357,6.0,198,1.1035662474638457
20-49,282,0.08700867524714831,0.09235037713783792,0.18512886360035635,0.2044434683728892,10.0,255,0.9421583099469444
50-99,126,0.1425630293346094,0.11985340574247202,0.22270674120304274,0.23460207801385763,19.0,126,1.1894783335646995
100-249,69,0.14235938735868617,0.13537533458438977,0.19664764549056993,0.1819127140555663,31.0,69,1.0515902900313254
250+,50,0.27790793391659885,0.25653345740070055,0.31144162371176853,0.3182826518635283,74.0,50,1.0833204242926948
