,trad,bfm_all,bfm_tested,n_species,d_all,d_tested,d_species_selection,trad_empirical,d_lognormal_assumption
10325-94-7,-1.1450739606202136,-0.6030715878530086,-1.0830447505834426,22,0.542002372767205,0.062029210036770976,0.479973162730434,-1.1530867829263902,0.008012822306176615
10361-37-2,1.801277932819756,1.324333193584718,2.1775537509466947,6,-0.4769447392350379,0.3762758181269388,-0.8532205573619767,2.1760912590556813,-0.37481332623592545
104-40-5,-1.0955736484193352,-1.0131677003376174,-1.0473603081668292,23,0.08240594808171786,0.04821334025250601,0.03419260782921185,-1.0513326720853218,-0.04424097633401347
10476-85-4,2.024050742934815,1.675943115780914,2.067590096780988,6,-0.348107627153901,0.043539353846173245,-0.3916469810000742,2.035018933303877,-0.010968190369061936
105-37-3,1.7569857050976332,1.259315733251586,1.777935963493736,10,-0.4976699718460471,0.02095025839610276,-0.5186202302421499,1.7603800002515897,-0.003394295153956506
105-67-9,0.7423073127133566,0.522100022150751,0.7764423759752311,8,-0.22020729056260557,0.03413506326187454,-0.2543423538244801,0.7883003952306225,-0.04599308251726586
10599-90-3,-0.26420950253930403,-0.8968056358637623,-0.2725985635333723,5,-0.6325961333244583,-0.008389060994068276,-0.62420707233039,-0.27216458727185866,0.00795508473255463
106-44-5,0.9111962076344693,0.6323776853864942,0.9709646814828146,8,-0.2788185222479751,0.05976847384834527,-0.33858699609632037,0.9132309499088558,-0.002034742274386492
106-46-7,0.44495588319683876,0.31158968593586356,0.5581992574533228,13,-0.1333661972609752,0.11324337425648401,-0.24660957151745921,0.4670659681288506,-0.02211008493201183
106-47-8,0.2643302343592636,0.2603107669195714,0.5450544695342932,8,-0.004019467439692226,0.28072423517502954,-0.28474370261472176,0.4737484272986554,-0.2094181929393918
106-48-9,0.6803459766309043,0.35252171388043546,0.67750791870866,9,-0.3278242627504689,-0.0028380579222443414,-0.32498620482822455,0.6810238387875706,-0.0006778621566662091
106-93-4,0.6459450960901365,0.3661944411408732,0.7623363328911135,6,-0.2797506549492633,0.11639123680097696,-0.3961418917502403,0.6812412373755872,-0.035296141285450666
10605-21-7,-1.2620872502987737,-0.6492886742874919,-1.0417886205729474,9,0.6127985760112817,0.22029862972582626,0.3924999462854555,-1.2786634798428018,0.016576229544028154
107-02-8,-1.1170634146629939,-1.0032976350373146,-1.0646991469375269,13,0.11376577962567924,0.052364267725466984,0.06140151190021226,-1.1288020989935397,0.011738684330545812
107-05-1,1.3907499603933664,0.8459953869260647,1.3796717583869793,5,-0.5447545734673017,-0.011078202006387095,-0.5336763714609146,1.3680734831823755,0.022676477210990864
107-06-2,2.1220988150106854,1.4815655239349308,2.162694621782564,9,-0.6405332910757546,0.040595806771878795,-0.6811290978476334,2.1561182536206998,-0.03401943861001433
107-07-3,1.6785937866032115,1.1420166960158427,1.6811512004928217,9,-0.5365770905873688,0.0025574138896102827,-0.5391345044769791,1.671888969360528,0.0067048172426833474
