CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper,n_species_observed,trad_hc20
100-00-5,1-Chloro-4-nitrobenzene,0.021318554087452646,0.02451124701474173,0.2934887791926839,-1.0119355770224323,0.7202411937910117,-0.6695034598062607,0.520421818337921,,
100-01-6,4-Nitroaniline,0.4515823491656267,0.47952691767414035,0.24874903911923443,-0.24697036406426878,0.9943611399413336,-0.10583793403463201,0.8755537399985139,5.0,1.4131742458191652
100-02-7,4-Nitrophenol,0.14260907935194334,0.14076260755140318,0.10314613124792488,-0.13876970907149488,0.3731300455543537,-0.04990157796374002,0.3350501900403171,18.0,0.7096776592119038
100-09-4,"Benzoic acid, 4-methoxy-",0.3965050103589882,0.45165643208423034,0.5552718377558814,-2.415384806966517,1.594992255197157,-0.7302976531819352,1.4203737348883854,,
100-10-7,4-Dimethylaminobenzaldehyde,0.20913769616316855,0.22071999974222695,0.3818236013048589,-1.046404536492877,1.2293838288880272,-0.5971446225866008,0.9881363357961409,,
100-14-1,4-Nitrobenzyl chloride,-0.20083633698331332,-0.22507587161400627,0.42123584873901565,-1.213405565426696,0.9339128559478439,-0.9748016836307835,0.6116425315860715,,
100-17-4,p-Nitroanisole,0.08981231004173602,0.08341464571693243,0.4590898119034034,-1.1753754028090033,1.1108638233432488,-0.7647093565781711,0.945007642142191,,
100-25-4,"1,4-Dinitrobenzene",-1.1104051050633459,-1.0928747758095938,0.3581274842650144,-2.2868227040041726,-0.05864814504608685,-1.8535034787402398,-0.4776278259490835,,
100-37-8,"N,N-Diethylethanolamine",0.6579701126853104,0.6734750635087903,0.5915004408644602,-1.214714224870906,2.5136250986697175,-0.45116018689973125,1.7545396963985327,,
100-41-4,Ethylbenzene,0.2526005694982912,0.26390266762045345,0.1549281877580307,-0.10227820699585026,0.6577265700862654,-0.06339768015665635,0.5249677112654785,14.0,0.8771656907808165
100-42-5,Styrene,0.24097824226591577,0.2392947235572535,0.17569008634099212,-0.2533077616212946,0.7519956962278861,-0.057108921457953675,0.620809439536283,9.0,0.7645947572370987
100-44-7,Benzyl chloride,-0.29258987772903594,-0.2858621350975915,0.2663276442843957,-1.1833249501624237,0.4949675015912981,-0.8108752212689221,0.21260278099383847,,
100-46-9,Benzylamine,0.4075751624777137,0.4203310578679474,0.5880950318760958,-1.4347424487053166,2.0658821099333897,-0.7697775290381942,1.6316444392200238,,
100-47-0,Benzonitrile,0.6317293287979184,0.6409958285438653,0.2368013608462908,-0.33865630667905294,1.2094386168693128,0.07544110793351344,1.0583640003268437,,
100-51-6,Benzyl alcohol,0.622870815504025,0.6443272740025271,0.37657707490625847,-0.597649498321802,1.4653108231965766,-0.2837297477406855,1.2156839495026062,,
100-52-7,Benzaldehyde,-0.0342636757071984,-0.024306481134106186,0.2157134993816152,-0.7850006067875676,0.44651623657910516,-0.45628193251682553,0.3708744254681906,7.0,0.5853250265977069
100-56-1,Phenylmercuric chloride,-1.3423702046563144,-1.4341400741661805,0.6787493597312535,-2.728738651598072,0.953141739413883,-2.3981080627295235,0.16036000927096233,,
100-61-8,N-Methylaniline,-0.034875506452857405,-0.04041751986734128,0.3326479150322693,-1.0090732957367716,0.8018590846747232,-0.7333568370946146,0.6716559369792784,,
100-63-0,Phenylhydrazine,0.0378819635316069,0.07244753038733015,0.4765312159635956,-1.6234304021392294,1.5432830777017439,-0.9314205521601367,0.9315304552954046,,
100-64-1,Cyclohexanone oxime,0.40228682069983873,0.4125301496938152,0.49543165338377176,-1.0620255013217172,1.793843344038378,-0.648800094412951,1.2902590833765617,,
100-66-3,Anisole,0.4432570754934466,0.4482398771633076,0.4107667659382356,-1.0119549647718489,1.3865681402342565,-0.284587424358004,1.1343388224024136,,
100-68-5,"Benzene, (methylthio)-",-0.11887116459734375,-0.1320021158224056,0.5079346880381714,-1.6639793390057374,1.5538856437479334,-1.090615165611183,0.7978801376572889,,
100-70-9,2-Pyridinecarbonitrile,0.8042172226534983,0.8036423060106719,0.5087318365146315,-0.6127368846867872,1.9771233544257623,-0.2151370990169997,1.8198218662136771,,
100-71-0,2-Ethylpyridine,0.4563286551040822,0.45877766969571954,0.5369131121360847,-1.1847324402661115,1.7250298012666385,-0.784368571114342,1.436395347849688,,
100-79-8,Solketal,0.6547058718458645,0.6381762188973503,0.6020905703216419,-0.8500043701277821,2.2534445414102917,-0.5517875483435656,1.7098093398942278,,
100-83-4,"Benzaldehyde, 3-hydroxy-",0.37233643319681275,0.370789347775637,0.5538402302074961,-1.6360186292944994,2.013719705011034,-0.6783857348769555,1.3919295103978153,,
100-97-0,Methenamine,1.8643129934178753,1.892203693417995,0.6146823818894163,-1.0248263838652576,3.121535438313445,0.694132289431895,2.858315964088338,,
10004-44-1,Hymexazol,0.23641876603372944,0.21284071181314917,0.5429025713341915,-1.3397026014232811,2.006989536222909,-0.8973688148271491,1.3486667801587202,,
10007-85-9,Dicamba-potassium,0.5127924484212268,0.5435748825573437,0.45366141887089584,-0.9642955071600189,1.6295442233063058,-0.37794792019804113,1.3882174814846089,,
1002-62-6,Sodium decanoate,0.3455867799882731,0.36575719681654695,0.4739187355060193,-0.9155469689384517,1.5381485744619579,-0.66295733588624,1.270712011673316,,
10022-31-8,Barium nitrate,0.4466797084014869,0.46684962769186367,0.45541142219118164,-1.0309857618318667,1.471069630494622,-0.49791886158884185,1.2868098498663307,,
10025-65-7,Platinium dichloride,-0.3182350359629429,-0.3808682275894277,0.7249909059433813,-2.2925255016942483,1.8996363840528234,-1.5796391005375738,1.035136016552889,,
10025-73-7,Chromium chloride (CrCl3),0.19111983484923756,0.18024565939974213,0.21966296238710614,-0.451104973621875,0.7323975705904764,-0.2697165424851374,0.5768268117941047,8.0,1.0786819715186007
10025-82-8,Indium trichloride,0.3132267986995977,0.3138941389403032,0.4822579678147856,-0.9059056988173674,1.8854594821709505,-0.5537039463012254,1.2915466101432789,,
10025-91-9,Antimony trichloride,-0.04884871892723764,-0.04033810564653231,0.25833093130620943,-0.7251065296287621,0.6450062810666706,-0.5196962160708717,0.4466686825535952,5.0,0.6834072138626051
10026-11-6,Zirconium(IV) chloride,0.9915537167625694,1.002840132478985,0.8368837194782477,-1.1535660678486448,3.3971588673545225,-0.5090384234876186,2.6447184839589704,,
10028-15-6,Ozone,-1.5703718504694506,-1.5865063367529628,0.30715238554220786,-2.2677440592183102,-0.4196831983171453,-2.1736564927853665,-1.0001304100942807,,
10028-22-5,Ferric sulfate,0.33762058862242683,0.371193087370968,0.3177626781469666,-0.4586807159642425,1.1720006428139185,-0.32166536189323797,0.9440930900184271,,
10031-82-0,p-Ethoxybenzaldehyde,0.11272159187853402,0.14902886819948413,0.431282094331329,-0.9777236145076457,1.2413129122601907,-0.7122211234388257,0.9432894197600032,,
10039-54-0,Hydroxylamine sulfate (2:1),-0.04329913770975677,-0.0636273873525564,0.35170470167782475,-0.9130585273361154,0.9938603411938499,-0.705895058537342,0.6618458518688118,,
10042-84-9,Nitrilotriacetic acid sodium salt,0.8841063292599545,0.8837616006930518,0.29905082718760245,0.06024955116436475,1.6089869135465378,0.2010680105416916,1.4807957688942635,,
10043-01-3,Aluminum sulfate,-0.1683820203516298,-0.16507119178773874,0.2235642601305875,-0.79170597013,0.3904657119320012,-0.6538878997657337,0.22575626679561892,6.0,0.8715323042947117
10043-35-3,Boric acid,1.239828355594036,1.2577516148895829,0.26273409636820133,0.5285547427223167,1.801586675505233,0.7852448509488861,1.7201209168284362,7.0,1.841449851143787
10043-52-4,Calcium chloride,1.9724982197038827,1.9687504298919123,0.17609450652065617,1.4475435780149777,2.3104336404872674,1.636920934105785,2.2954832761877957,11.0,2.9979638251655207
10045-89-3,Ferrous ammonium sulfate,0.09643712457981751,0.09997389485933268,0.40196916432611185,-0.8246546509478283,1.0879911508163627,-0.689185488574733,0.9114092609891051,,
10045-94-0,Mercuric nitrate,-1.6004800609270184,-1.6620843847925686,0.5623481190058006,-2.7370918378731695,0.751037078203285,-2.5642586686579416,-0.4236289690072698,,
10049-04-4,Chlorine dioxide,0.953210529065111,0.9348018834387015,0.34771683691573435,-0.02182884118247748,1.8420662803017378,0.24425982194907833,1.5571656564784477,5.0,1.4554713473581051
10051-44-2,"Hexanoic acid, sodium salt",0.8135198753866885,0.8712597113069911,0.5684516565284166,-0.67511021039253,2.2271133625873265,-0.42217072797658073,1.860880477373319,,
100646-51-3,Quizalofop-P-ethyl,-1.149260029652611,-1.1403014866783407,0.4315877774424295,-2.2489629627956593,0.08985247970708951,-2.041227916556892,-0.27649169511400906,,
1007-28-9,Deisopropylatrazine,0.019948704493552835,0.010351834614263965,0.48142011367745446,-1.6578429395548366,1.3963998401150148,-0.8151391220242165,1.013118580986118,,
100784-20-1,Halosulfuron-methyl,-0.1542044804794501,-0.14241842010952455,0.6542255315954172,-2.006920502514514,1.5442408053682526,-1.5895377602634402,0.9380160615382378,,
1008-80-6,"2,3-Dimethyldecahydronaphthalene",-0.6825886501462125,-0.6594859461542735,0.525766841051264,-2.155620174124344,0.40885155193611583,-1.6803442705168825,0.32835216394454314,,
100986-85-4,Levofloxacin,-0.17039415115637938,-0.18066312607378998,0.39106214532276024,-1.2036142213017114,0.9640582535843363,-0.9453920138178884,0.567524822913972,,
10099-58-8,Lanthanum chloride,-0.5107431856197313,-0.5199410604248413,0.4538954196561227,-1.802118720628053,0.7678497749429397,-1.3114478511287293,0.42206722984660316,,
10099-74-8,Lead nitrate,-0.3858497809858292,-0.3663710365897558,0.1997552577810068,-1.0515953842323744,0.08250491144734758,-0.7873697624537616,-0.05050370925880954,36.0,-0.07014996998317802
101-05-3,Anilazine,-1.3828298576656812,-1.3876511999763375,0.23890069695456861,-2.023756366789885,-0.8400495270052614,-1.8317859509721688,-0.9220265462066467,7.0,-1.360536582190584
101-20-2,Triclocarban,-1.864418386717723,-1.8678166278633945,0.21471888960483612,-2.6866479112295645,-1.1706968334470722,-2.246469015521446,-1.47779554097788,6.0,-2.070709962839731
101-21-3,Chlorpropham,-0.25931364589892,-0.2427153560328147,0.23044010449010352,-1.246152593826461,0.24532983784248283,-0.6852342938407502,0.13786219777410313,,
101-27-9,Barban,-0.9538487077593842,-0.9501621902306667,0.24246827904911597,-1.5367666466092234,-0.10517917081744234,-1.4108127851404098,-0.49349859198685125,7.0,-0.25347835322726653
101-42-8,Fenuron,0.4760599845719313,0.5080227064914596,0.45838189846539357,-0.8773677084978425,1.676144309469605,-0.43041856164658066,1.2246319533482903,,
101-54-2,"N-Phenyl-1,4-benzenediamine",-0.6590117191220017,-0.6866531774984481,0.48051068140505526,-2.3278477975156036,0.4825356755100458,-1.626882550859783,0.24707494831513616,,
101-55-3,p-Bromodiphenyl ether,-1.1263365560240057,-1.1268990286883842,0.21762976216423519,-1.8710427991697896,-0.5802756590874951,-1.5267041426136359,-0.7527041859511902,,
101-79-1,4-Chloro-4'-aminodiphenyl ether,-0.6884849890781166,-0.6588551743598172,0.5999894753851679,-2.1057475509439465,0.8160369313944195,-1.8004381441556307,0.4312608712516591,,
