CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper
100-00-5,1-Chloro-4-nitrobenzene,0.15197116224287316,0.1905875315638964,0.23088736961241074,-0.4697679684625211,0.5929054596015388,-0.3166867415556173,0.5294763102660809
100-01-6,4-Nitroaniline,0.5961752558188728,0.5749435542851279,0.18650002213349806,0.18253360933672902,1.0339690506905574,0.32015760906498725,0.9197091545648827
100-02-7,4-Nitrophenol,0.18450702610089886,0.19485404441862508,0.0693895729911173,-0.04411117959818432,0.3191446772429948,0.03871052106463529,0.31118440590558766
100-09-4,"Benzoic acid, 4-methoxy-",0.808200329790931,0.7572940096726216,0.4605140176692407,-0.17631615157070998,1.842466325545463,-0.014865905007201445,1.6903654443813887
100-10-7,4-Dimethylaminobenzaldehyde,0.2681706105860599,0.28857817554468945,0.39804424605558947,-0.5888890737791409,1.2139206298270853,-0.48038094090699135,0.9733644046472856
100-14-1,4-Nitrobenzyl chloride,-0.14568053488221241,-0.1838589036304273,0.35556101296380754,-0.9791875159978335,0.8726674700053146,-0.7542476754091174,0.5698892048916994
100-17-4,p-Nitroanisole,0.2220278716025359,0.21161299040690756,0.3540279740036425,-0.5745591292581876,1.1372591603514974,-0.47330512632945854,0.8763319317768465
100-25-4,"1,4-Dinitrobenzene",-1.1949256240681323,-1.2009240841991695,0.35694095722244445,-2.0159343179527007,-0.4822822557170217,-1.8711940946767238,-0.5350844945513571
100-37-8,"N,N-Diethylethanolamine",1.2882373232853,1.2249935723220595,0.4674818333909335,-0.14558629700789577,2.2700128255118286,0.30577641978646375,2.2172003651237837
100-41-4,Ethylbenzene,0.32830031882211036,0.3458255337886349,0.22355270512754688,-0.160773090620467,0.7910739372211475,-0.13193931783301974,0.7116706994087809
100-42-5,Styrene,0.46193658150912875,0.5005257814534103,0.21867789069834404,-0.13836767823660914,0.8346367028391031,0.008364305679076709,0.7869569620977053
100-44-7,Benzyl chloride,-0.15902144714638575,-0.19924916629592698,0.26803001046498937,-0.7022848232602248,0.47970788481034343,-0.6639201198820615,0.38582884491601427
