nominal_coverage,empirical_coverage,gap
0.1,0.12818734965331824,0.028187349653318233
0.2,0.2517900099051931,0.05179000990519311
0.3,0.366393094665346,0.06639309466534599
0.4,0.4695769067496816,0.06957690674968159
0.5,0.5645252582425357,0.06452525824253574
0.6,0.6495967171359841,0.049596717135984125
0.7,0.7273949342012169,0.02739493420121697
0.8,0.8003679071741899,0.0003679071741898854
0.9,0.8720390547615678,-0.027960945238432178
0.95,0.9108108108108108,-0.03918918918918912
0.99,0.9513230507994906,-0.03867694920050935
