nominal_coverage,empirical_coverage,gap
0.1,0.14045563888495827,0.04045563888495826
0.2,0.2775152115466252,0.07751521154662516
0.3,0.40329701429177867,0.10329701429177868
0.4,0.5159190604216782,0.11591906042167821
0.5,0.6141785764822414,0.11417857648224139
0.6,0.7031413612565445,0.1031413612565445
0.7,0.782227253431442,0.082227253431442
0.8,0.8519598132163577,0.051959813216357675
0.9,0.9141361256544502,0.014136125654450216
0.95,0.9457478420829206,-0.0042521579170793355
0.99,0.9752228668459035,-0.014777133154096456
