CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper,hc50_mean,hc50_median,hc50_std,hc50_min,hc50_max,hc50_ci_lower,hc50_ci_upper,hc80_mean,hc80_median,hc80_std,hc80_min,hc80_max,hc80_ci_lower,hc80_ci_upper,n_species_observed,trad_hc20,trad_hc50,trad_hc80
100-00-5,1-Chloro-4-nitrobenzene,0.021318554087452646,0.02451124701474173,0.2934887791926839,-1.0119355770224323,0.7202411937910117,-0.6695034598062607,0.520421818337921,0.7864487652123588,0.8137692112443561,0.31059303650152,-0.16098912259093542,1.5340683981906693,0.07662546517513329,1.2848851306879754,1.5420100100645084,1.5677352991734226,0.3370484506594468,0.6056769287181836,2.3561730403441463,0.828257202356713,2.1358661849346974,,,,
100-01-6,4-Nitroaniline,0.4515823491656267,0.47952691767414035,0.24874903911923443,-0.24697036406426878,0.9943611399413336,-0.10583793403463201,0.8755537399985139,1.246659715661245,1.2685284293838581,0.20772441620669088,0.6280324952625569,1.739303128641104,0.7971827830676926,1.6495539447444623,1.9999580662307619,1.9904347022980884,0.21061983152828814,1.3997827186140535,2.7892513051814394,1.6408675803147241,2.42038673742281,5.0,1.252078925847805,1.3979963753411102,1.5439138248344155
100-02-7,4-Nitrophenol,0.14260907935194334,0.14076260755140318,0.10314613124792488,-0.13876970907149488,0.3731300455543537,-0.04990157796374002,0.3350501900403171,0.8405618751155716,0.835742042416217,0.09324310552672241,0.6106108306671291,1.1382107890423403,0.6661995299479873,1.0245603529359915,1.5243970835429863,1.5143828782053226,0.11244703460053755,1.2631166805246499,1.9771948726287398,1.3303934235282213,1.7510351668690283,18.0,0.5485823392405436,0.9290635870252255,1.3095448348099075
100-09-4,"Benzoic acid, 4-methoxy-",0.3965050103589882,0.45165643208423034,0.5552718377558814,-2.415384806966517,1.594992255197157,-0.7302976531819352,1.4203737348883854,1.2351083540429775,1.2618516384195997,0.582767868703092,-1.7069144575940647,2.4717614665684087,0.016149105594131914,2.278341223752448,2.031714528283527,2.050183178855015,0.5942830136040195,-0.8683099971367604,3.4530436478707505,0.8682810092786315,3.0908822322175573,,,,
100-10-7,4-Dimethylaminobenzaldehyde,0.20913769616316855,0.22071999974222695,0.3818236013048589,-1.046404536492877,1.2293838288880272,-0.5971446225866008,0.9881363357961409,1.0306730062055,1.0322341071868881,0.3773382768465239,-0.23662479274682346,2.091878636701466,0.27865254153278135,1.7431187635197651,1.809652336605968,1.8176546561006648,0.38938005533333636,0.5775206813851426,2.9513422267775433,1.0116290832263615,2.547060793531754,,,,
100-14-1,4-Nitrobenzyl chloride,-0.20083633698331332,-0.22507587161400627,0.42123584873901565,-1.213405565426696,0.9339128559478439,-0.9748016836307835,0.6116425315860715,0.600985259976228,0.5445880973667816,0.448616255446501,-0.474888815032453,1.8639710427742506,-0.2679982273883344,1.4183742365987297,1.374096186005197,1.3162033056768518,0.47424020960650126,0.19949928306342604,2.836508424670407,0.47396169955085693,2.330162197800654,,,,
100-17-4,p-Nitroanisole,0.08981231004173602,0.08341464571693243,0.4590898119034034,-1.1753754028090033,1.1108638233432488,-0.7647093565781711,0.945007642142191,0.8874961695873779,0.895155373319408,0.4708096367182958,-0.3824574360378976,1.8692932591821696,-0.022569783746531846,1.7418307746315005,1.6568479639420266,1.634232005657424,0.47860926256343955,0.4308283019328541,2.705369553546504,0.8069568415918732,2.532705397686532,,,,
100-25-4,"1,4-Dinitrobenzene",-1.1104051050633459,-1.0928747758095938,0.3581274842650144,-2.2868227040041726,-0.05864814504608685,-1.8535034787402398,-0.4776278259490835,-0.3557959936192562,-0.34917590959590256,0.350925941156465,-1.2025405660037167,0.6716345728378654,-1.0408260029294956,0.3084019367867542,0.44811139394026006,0.4275511367946243,0.39243139775422686,-0.47216331494109076,1.5515326266477034,-0.29296819221605797,1.1757004897509262,,,,
100-37-8,"N,N-Diethylethanolamine",0.6579701126853104,0.6734750635087903,0.5915004408644602,-1.214714224870906,2.5136250986697175,-0.45116018689973125,1.7545396963985327,1.5289039947028746,1.5172954634160802,0.6182437852319005,-0.38120915910664044,3.3571489152969756,0.4494233711850709,2.7171738495625677,2.3459593574818403,2.3129995013881475,0.6486971045847457,0.36155154687900376,4.103701502826686,1.159714374262921,3.63765674611995,,,,
100-41-4,Ethylbenzene,0.2526005694982912,0.26390266762045345,0.1549281877580307,-0.10227820699585026,0.6577265700862654,-0.06339768015665635,0.5249677112654785,1.0808208845212461,1.0929835515038966,0.1403745699078664,0.7405955336338225,1.4221181245928498,0.8275341667463125,1.3488333689127159,1.8871229485984937,1.8881222188855074,0.15737869021968254,1.5291064017902334,2.3598028924935317,1.6180150010549246,2.1764758917409557,14.0,0.7160703708094567,1.246411186229297,1.7767520016491374
100-42-5,Styrene,0.24097824226591577,0.2392947235572535,0.17569008634099212,-0.2533077616212946,0.7519956962278861,-0.057108921457953675,0.620809439536283,1.0038238195486187,0.98960501395804,0.16916692562982824,0.4798385029482456,1.5122726651614173,0.6922336930568728,1.3379502176352107,1.7510879608350547,1.733760716262184,0.19191644458274668,1.2194920789321277,2.3928144385318317,1.4111283644978165,2.1216330882443653,9.0,0.6034994372657386,1.1517117254473865,1.6999240136290346
